VirGen,HumGen
NVA0,2885
NVA0,5478
NVA4,1832
NVA4,5351
NVA4,2885
NVA4,2648
NVA4,1159
NVA4,5352
NVA4,54107
NVA4,596
NVA4,5426
NVA4,7534
NVA4,7317
NVA4,1915
NVA4,5300
NVA4,191
NVA4,8803
NVA4,4170
NVA4,9349
NVA4,6241
NVA4,10726
NVA4,7531
NVA4,8665
NVA4,1508
NVA4,5516
NVA4,3181
NVA4,6301
NVA4,10946
NVA4,3419
NVA4,2235
NVA4,4790
NVA4,56655
NVA4,7431
NVA4,7529
NVA48,51493
NVA48,2885
NVA48,203068
NVA48,10383
NVA48,26227
NVA48,3055
NVA48,3309
NVA48,6510
NVA48,5902
NVA48,3329
NVA48,5901
NVA48,54583
NVA48,10857
NVA48,7280
NVA48,10376
NVA48,5591
NVA48,6222
NVA48,4067
NVA48,476
NVA48,3932
NVA48,1152
NVA48,10971
NVA48,2618
NVA48,2534
NVA48,821
NVA48,3189
NVA48,1537
NVA48,5315
NVA48,3320
NVA48,3181
NVA48,7284
NVA48,7419
NVA48,708
NVA48,6566
NVA48,4522
NVA48,3326
NVA48,95
NVA48,5111
NVA48,3187
NVA92,1460
NVA92,5468
NVA94,2885
NVA94,3055
NVA94,4067
NVA94,2534
NVA101,5422
NVA106,7316
NVA154,3055
NVA171,1021
NVA172,2885
NVA172,3055
NVA172,4067
NVA172,2534
NVA178,4697
NVA178,5351
NVA178,2683
NVA178,1191
NVA178,5515
NVA178,6513
NVA178,23657
NVA178,5162
NVA178,4722
NVA178,823
NVA178,6510
NVA178,1615
NVA178,539
NVA178,5901
NVA178,7534
NVA178,2539
NVA178,217
NVA178,6238
NVA178,216
NVA178,54600
NVA178,2182
NVA178,10857
NVA178,57016
NVA178,4705
NVA178,7388
NVA178,4942
NVA178,378
NVA178,10381
NVA178,5591
NVA178,1591
NVA178,1969
NVA178,9377
NVA178,54884
NVA178,1468
NVA178,5868
NVA178,10016
NVA178,1244
NVA178,4704
NVA178,10726
NVA178,821
NVA178,1373
NVA178,3162
NVA178,3992
NVA178,7037
NVA178,7184
NVA178,1503
NVA178,6388
NVA178,5834
NVA178,1537
NVA178,22820
NVA178,54658
NVA178,123096
NVA178,6390
NVA178,5034
NVA178,1666
NVA178,771
NVA178,293
NVA178,51170
NVA178,4141
NVA178,7385
NVA178,302
NVA178,54578
NVA178,4513
NVA178,1312
NVA178,3735
NVA178,10558
NVA178,79001
NVA178,10856
NVA178,23193
NVA178,5111
NVA178,2181
NVA178,87
NVA178,291
NVA178,219
NVA330,3690
NVA196,5045
NVA196,5447
NVA196,8974
NVA196,5351
NVA196,1717
NVA196,51109
NVA196,351
NVA196,3309
NVA196,7436
NVA196,823
NVA196,350
NVA196,5702
NVA196,8985
NVA196,6868
NVA196,3543
NVA196,4716
NVA196,3689
NVA196,3329
NVA196,7417
NVA196,1727
NVA196,811
NVA196,3482
NVA196,2335
NVA196,10808
NVA196,7314
NVA196,1656
NVA196,10857
NVA196,2882
NVA196,1509
NVA196,7852
NVA196,3683
NVA196,444
NVA196,9377
NVA196,3932
NVA196,483
NVA196,488
NVA196,3106
NVA196,4758
NVA196,821
NVA196,7037
NVA196,1327
NVA196,7184
NVA196,6388
NVA196,5033
NVA196,5230
NVA196,64175
NVA196,7879
NVA196,5034
NVA196,7416
NVA196,81502
NVA196,1192
NVA196,7284
NVA196,7419
NVA196,28639
NVA196,3561
NVA196,1511
NVA196,5682
NVA196,2923
NVA196,3949
NVA196,3105
NVA196,7415
NVA196,3615
NVA196,11331
NVA196,6782
NVA196,1362
NVA196,8766
NVA196,10856
NVA196,1340
NVA196,23193
NVA196,2181
NVA196,5694
NVA205,2885
NVA205,8803
NVA205,6241
NVA205,10726
NVA205,8665
NVA205,1508
NVA205,5516
NVA205,3419
NVA205,2235
NVA211,7167
NVA211,7295
NVA211,2885
NVA211,203068
NVA211,10383
NVA211,3055
NVA211,3309
NVA211,3329
NVA211,4282
NVA211,2023
NVA211,4067
NVA211,3932
NVA211,292
NVA211,3336
NVA211,5052
NVA211,2534
NVA211,293
NVA211,5478
NVA248,5478
NVA254,1025
NVA254,10524
NVA265,3320
NVA275,1457
NVA298,51493
NVA298,1431
NVA298,3312
NVA298,1968
NVA298,8346
