HumGen,HumGen
2157,2157
2157,5264
2157,2158
2157,3309
2157,28912
2157,811
2157,2159
2157,821
2157,5627
2157,5624
2157,2147
5141,5141
5141,4067
5141,7316
5141,5207
5045,5045
5045,368
5045,4323
5045,2316
5045,23621
5045,51172
5045,3359
5045,7316
5045,5104
6187,5566
6187,7412
6187,3845
6187,3008
6187,7083
6187,6134
6187,1445
6187,6195
6187,6124
6187,2103
6187,7534
6187,3383
6187,7157
6187,51121
6187,1938
6187,6194
6187,2335
6187,1499
6187,6143
6187,6135
6187,7283
6187,1915
6187,4809
6187,6222
6187,5562
6187,7919
6187,6147
6187,7381
6187,9349
6187,3728
6187,292
6187,1017
6187,10399
6187,23411
6187,6138
6187,1026
6187,9045
6187,6202
6187,4914
6187,6234
6187,7316
6187,156
6187,50
6187,23521
6187,1025
6187,6132
6187,6207
6187,2932
6187,5728
6187,4724
6187,6218
6187,10196
6187,6203
6187,7284
6187,5501
6187,708
6187,3725
6187,5567
6187,302
6187,3921
6187,5538
6187,1459
6187,1454
6187,506
6187,2246
6187,3326
6187,6122
6187,10856
6187,6193
6187,140801
6187,11224
6187,6141
6187,291
6187,2099
6187,6223
4881,4881
4881,7295
4881,4323
4881,3061
4881,7316
4881,4879
4881,7322
4881,4087
6850,6850
6850,2911
6850,8841
6850,2885
6850,7412
6850,2207
6850,203068
6850,4233
6850,6195
6850,351
6850,54106
6850,3066
6850,2185
6850,3689
6850,2205
6850,2316
6850,1439
6850,2209
6850,2064
6850,5295
6850,7283
6850,367
6850,5296
6850,7099
6850,5294
6850,4067
6850,4137
6850,3932
6850,1956
6850,2322
6850,9759
6850,7846
6850,5595
6850,2534
6850,3716
6850,3065
6850,9734
6850,2066
6850,2268
6850,695
6850,7316
6850,10013
6850,5578
6850,6714
6850,6622
6850,3815
6850,3690
6850,6774
6850,7132
6850,7277
6850,5747
6850,2057
6850,9146
2911,6850
2911,2911
2911,1019
2911,1021
2911,203068
2911,2648
2911,5894
2911,4988
2911,2064
2911,5156
2911,134
2911,2597
2911,3064
2911,1969
2911,8678
2911,2534
2911,3480
2911,2264
2911,156
2911,5578
2911,6714
2911,3708
2911,960
2911,7015
3781,3781
3781,3191
3781,7316
3781,6733
4128,2
4128,3191
4128,7316
4128,4129
2562,5566
2562,5515
2562,10399
2562,2559
2562,7316
2562,5578
2562,2561
23070,8346
23070,5573
23070,3376
23070,4914
23070,7316
5447,5447
5447,5351
5447,5160
5447,328
5447,1571
5447,4728
5447,3845
5447,1548
5447,351
5447,5162
5447,4722
5447,1586
5447,4715
5447,1559
5447,4719
5447,8985
5447,374291
5447,1544
5447,526
5447,1727
5447,1565
5447,4714
5447,1938
5447,3098
5447,10857
5447,523
5447,7388
5447,54205
5447,444
5447,7384
5447,488
5447,4704
5447,10165
5447,1557
5447,4723
5447,821
5447,4914
5447,3162
5447,7037
5447,7316
5447,1537
5447,5033
5447,55157
5447,7284
5447,1576
5447,7419
5447,960
5447,7385
5447,7415
5447,11331
5447,1528
5447,4513
5447,1312
5447,506
5447,3163
5447,4729
5447,348
5447,23530
5447,4702
563,563
563,1017
563,4363
563,7316
563,6462
563,4790
5915,6605
5915,6256
5915,1051
5915,8648
5915,5914
5915,7067
5915,3065
5915,6258
5915,6714
5915,6257
5915,4087
5566,6187
5566,2562
5566,5566
5566,3312
5566,1832
5566,5142
5566,6711
5566,55869
5566,5970
5566,5569
5566,2893
5566,203068
5566,3040
5566,5170
5566,15
5566,31
5566,5127
5566,1812
5566,10383
5566,6134
5566,1445
5566,3309
5566,1859
5566,775
5566,2572
5566,2247
5566,10369
5566,150094
5566,5894
5566,596
5566,3329
5566,10092
5566,783
5566,7534
5566,5139
5566,811
5566,7166
5566,7448
5566,7161
5566,27232
5566,117159
5566,6194
5566,240
5566,3172
5566,6135
5566,7283
5566,387
5566,8671
5566,6853
5566,3757
5566,1072
5566,6222
5566,9221
5566,6476
5566,6608
5566,4137
5566,6147
5566,4842
5566,7358
5566,9349
5566,3932
5566,1956
5566,595
5566,6262
5566,19
5566,41
5566,292
5566,5573
5566,111
5566,3984
5566,2908
5566,2890
5566,1385
5566,1026
5566,5144
5566,673
5566,3065
5566,2571
5566,790
5566,4133
5566,7531
5566,7316
5566,9311
5566,7184
5566,156
5566,3320
5566,5140
5566,6714
5566,6261
5566,6514
5566,2932
5566,293
5566,2569
5566,5577
5566,7054
5566,6218
5566,3708
5566,7284
5566,1576
5566,3784
5566,6790
5566,3674
5566,3706
5566,3184
5566,708
5566,5207
5566,3091
5566,6915
5566,5567
5566,572
5566,1080
5566,3768
5566,10109
5566,10094
5566,4790
5566,2990
5566,4255
5566,7203
5566,8826
5566,3326
5566,6193
5566,9131
5566,11224
5566,7431
5566,3156
5566,2099
55300,207
55300,7316
55300,3320
55300,846
55300,5329
55300,1432
55300,7203
6337,6338
6337,23410
6337,8724
6337,29924
6337,3191
6337,6340
6337,1457
6337,7316
6337,9146
6584,3157
6584,7316
51493,3845
51493,3028
51493,6134
51493,7534
51493,5460
51493,51121
51493,7161
51493,1738
51493,2335
51493,28960
51493,1915
51493,5591
51493,3065
51493,4914
51493,7316
51493,1025
51493,768
51493,7416
51493,3725
51493,5859
51493,51185
51493,4836
51493,5538
51493,3187
51493,6646
51493,2099
2224,2224
2224,3312
2224,326625
2224,11112
2224,3845
2224,5518
2224,9520
2224,159
2224,2539
2224,51388
2224,2731
2224,8192
2224,2876
2224,1956
2224,2617
2224,4830
2224,1491
2224,211
2224,3480
2224,4914
2224,7316
2224,2260
2224,6678
2224,3615
2224,2053
2224,6240
2224,4831
2224,3417
2224,6652
5328,5328
5328,6768
5328,3265
5328,5604
5328,3482
5328,5340
5328,10863
5328,1514
5328,211
5328,5054
5328,55034
5328,5327
5328,695
5328,1508
5328,3082
5328,5104
5328,5329
5328,4036
5328,2147
5328,5345
10747,10747
10747,8573
10747,8986
10747,23539
10747,3932
10747,4153
10747,156
10747,710
10747,1105
